	Word	PoS		Freq	Ra	Disp
	@	@	measure	47	100	0.94
	@	@	measures	65	99	0.89
	measure	Verb	%	65	100	0.90
	@	@	measure	18	100	0.93
	@	@	measured	30	100	0.85
	@	@	measures	4	79	0.90
	@	@	measuring	14	99	0.91
	measurement	NoC	%	31	97	0.86
	@	@	measurement	17	83	0.85
	@	@	measurements	14	94	0.84
	meat	NoC	%	38	100	0.94
	@	@	meat	36	100	0.94
	@	@	meats	2	58	0.83
	mechanic	NoC	%	12	98	0.87
	@	@	mechanic	3	83	0.90
	@	@	mechanics	9	96	0.83
	mechanical	Adj	:	20	99	0.91
	mechanism	NoC	%	49	97	0.90
	@	@	mechanism	29	97	0.91
	@	@	mechanisms	20	84	0.88
	medal	NoC	%	16	92	0.85
	@	@	medal	11	89	0.84
	@	@	medals	5	81	0.86
	medical	Adj	:	93	100	0.92
	medicine	NoC	%	34	100	0.91
	@	@	medicine	28	100	0.91
	@	@	medicines	6	92	0.89
	medieval	Adj	:	25	97	0.89
	medium	NoC	%	105	100	0.89
	@	@	media	80	99	0.88
	@	@	medium	24	99	0.90
	@	@	mediums	1	29	0.78
	meet	Verb	%	339	100	0.97
	@	@	meet	141	100	0.97
	@	@	meeting	46	100	0.94
	@	@	meets	14	100	0.94
	@	@	met	138	100	0.95
	meeting	NoC	%	215	100	0.92
	@	@	meeting	162	100	0.91
	@	@	meetings	54	100	0.93
	melt	Verb	%	14	97	0.92
	@	@	melt	6	91	0.91
	@	@	melted	5	83	0.90
	@	@	melting	3	76	0.88
	@	@	melts	1	49	0.83
	member	NoC	%	471	100	0.90
	@	@	member	175	100	0.85
	@	@	members	297	100	0.91
	membership	NoC	%	53	96	0.91
	@	@	membership	53	96	0.91
	@	@	memberships	1	39	0.85
	membrane	NoC	%	13	80	0.77
	@	@	membrane	9	73	0.77
	@	@	membranes	4	52	0.74
	memorandum	NoC	%	11	85	0.77
	@	@	memoranda	2	56	0.81
	@	@	memorandum	9	78	0.75
	memorial	NoC	%	17	97	0.88
	@	@	memorial	15	97	0.88
	@	@	memorials	1	51	0.83
	memory	NoC	%	102	100	0.93
	@	@	memories	26	99	0.94
	@	@	memory	76	100	0.92
	mental	Adj	:	58	100	0.90
	mentally	Adv	:	20	99	0.83
	mention	NoC	%	16	100	0.96
	@	@	mention	16	100	0.96
	@	@	mentions	1	43	0.86
	mention	Verb	%	110	100	0.95
	@	@	mention	31	100	0.95
	@	@	mentioned	70	100	0.95
	@	@	mentioning	5	97	0.94
	@	@	mentions	4	88	0.91
	menu	NoC	%	20	97	0.87
	@	@	menu	16	97	0.87
	@	@	menus	5	78	0.86
	merchant	NoC	%	29	100	0.90
	@	@	merchant	18	97	0.88
	@	@	merchants	10	96	0.90
	mercy	NoC	%	12	97	0.93
	@	@	mercies	1	35	0.84
	@	@	mercy	11	96	0.93
	mere	Adj	%	35	99	0.95
	@	@	mere	34	99	0.95
	@	@	merest	1	54	0.86
	merely	Adv	:	76	98	0.95
	merge	Verb	%	13	99	0.93
	@	@	merge	5	97	0.92
	@	@	merged	5	93	0.92
	@	@	merges	1	44	0.85
	@	@	merging	2	77	0.91
	merger	NoC	%	21	87	0.85
	@	@	merger	14	82	0.85
	@	@	mergers	7	69	0.83
	merit	NoC	%	19	99	0.93
	@	@	merit	9	97	0.93
	@	@	merits	10	97	0.92
	Merseyside	NoP	:	11	72	0.68
	mess	NoC	%	21	96	0.92
	@	@	mess	20	96	0.92
	@	@	messes	0	28	0.83
	message	NoC	%	89	100	0.92
	@	@	message	70	100	0.93
	@	@	messages	20	100	0.89
	metal	NoC	%	56	100	0.93
	@	@	metal	46	100	0.94
	@	@	metals	10	90	0.82
	metaphor	NoC	%	12	89	0.82
	@	@	metaphor	9	85	0.81
	@	@	metaphors	3	67	0.82
	method	NoC	%	180	100	0.92
	@	@	method	91	100	0.92
	@	@	methods	89	100	0.91
	methodology	NoC	%	11	73	0.81
	@	@	methodologies	1	41	0.82
	@	@	methodology	10	72	0.80
	metre	NoC	%	43	99	0.90
	@	@	metre	9	96	0.92
	@	@	metres	34	98	0.88
	metropolitan	Adj	:	17	98	0.89
	Mexico	NoP	:	16	95	0.86
	mhm	Int	:	75	12	0.59
	Michael	NoP	%	95	100	0.91
	@	@	Michael	95	100	0.91
	@	@	Michaels	0	14	0.62
	Mick	NoP	%	15	82	0.84
	@	@	Mick	15	82	0.84
	@	@	Micks	0	6	0.46
	Microsoft	NoP	%	20	33	0.48
	@	@	Microsoft	20	33	0.48
	mid	Adj	%	15	96	0.92
	@	@	mid	15	95	0.92
	middle	Adj	:	70	100	0.91
	middle	NoC	%	60	100	0.96
	@	@	middle	59	100	0.96
	@	@	middles	0	19	0.71
	middle-class	Adj	:	13	86	0.87
	Middlesbrough	NoP	:	36	55	0.12
	Midland	NoP	%	26	96	0.87
	@	@	Midland	15	90	0.80
	@	@	Midlands	11	86	0.90
	midnight	NoC	%	19	100	0.88
	@	@	midnight	19	100	0.88
	might	VMod	:	614	100	0.97
	mighty	Adj	%	10	95	0.90
	@	@	mightier	0	20	0.75
	@	@	mightiest	0	28	0.78
	@	@	mighty	10	94	0.91
	migration	NoC	%	14	84	0.82
	@	@	migration	13	82	0.81
	@	@	migrations	1	36	0.80
	Mike	NoP	%	43	97	0.87
	@	@	Mike	43	97	0.87
	mild	Adj	%	18	100	0.93
	@	@	mild	16	100	0.93
	@	@	milder	1	62	0.88
	@	@	mildest	0	35	0.85
	mile	NoC	%	130	100	0.93
	@	@	mile	32	99	0.93
	@	@	miles	98	100	0.93
	military	Adj	:	108	100	0.84
	milk	NoC	%	48	100	0.92
	@	@	milk	48	100	0.92
	@	@	milks	0	15	0.72
	mill	NoC	%	42	100	0.68
	@	@	mill	33	99	0.67
	@	@	mills	9	88	0.71
	Miller	NoP	:	20	94	0.81
	million	NoC	%	272	100	0.89
	@	@	million	245	100	0.88
	@	@	millions	27	100	0.93
	Milton	NoP	%	15	92	0.75
	@	@	Milton	15	92	0.75
	min	NoC	%	12	75	0.81
	@	@	min	7	64	0.74
	@	@	min.	0	16	0.68
	@	@	mins	5	43	0.76
	mind	NoC	%	241	100	0.94
	@	@	mind	213	100	0.94
	@	@	minds	28	100	0.95
	mind	Verb	%	78	99	0.87
	@	@	mind	72	99	0.86
	@	@	minded	5	94	0.93
	@	@	minding	1	62	0.89
	@	@	minds	0	33	0.83
	mine	NoC	%	31	100	0.89
	@	@	mine	17	100	0.89
	@	@	mines	14	96	0.87
	mine	Pron	:	46	99	0.84
	miner	NoC	%	22	95	0.89
	@	@	miner	4	77	0.87
	@	@	miners	18	93	0.88
	mineral	NoC	%	23	99	0.86
	@	@	mineral	12	94	0.87
	@	@	minerals	11	82	0.84
	minimal	Adj	:	14	96	0.93
	minimum	Adj	:	30	97	0.92
	minimum	NoC	%	21	99	0.94
	@	@	minima	1	27	0.78
	@	@	minimum	20	99	0.94
	mining	NoC	:	15	94	0.84
	minister	NoC	%	305	100	0.77
	@	@	minister	237	100	0.76
	@	@	ministers	68	96	0.80
	ministerial	Adj	:	10	84	0.84
	ministry	NoC	%	55	99	0.86
	@	@	ministries	6	72	0.80
	@	@	ministry	50	99	0.87
	minor	Adj	:	47	100	0.94
	minority	NoC	%	43	98	0.91
	@	@	minorities	8	85	0.88
	@	@	minority	34	94	0.91
	minus	Prep	:	13	94	0.74
	minute	NoC	%	266	100	0.94
	@	@	minute	82	100	0.91
	@	@	minutes	183	100	0.94
	miracle	NoC	%	16	99	0.89
	@	@	miracle	11	97	0.90
	@	@	miracles	5	84	0.85
	mirror	NoC	%	43	100	0.88
	@	@	mirror	37	100	0.86
	@	@	mirrors	5	92	0.91
	miserable	Adj	:	12	96	0.92
	misery	NoC	%	13	100	0.93
	@	@	miseries	1	38	0.85
	@	@	misery	13	100	0.93
	misleading	Adj	:	13	94	0.92
	miss*	NoC	%	92	99	0.85
	@	@	miss	91	99	0.85
	@	@	misses	1	58	0.86
	miss	Verb	%	108	100	0.94
	@	@	miss	35	99	0.93
	@	@	missed	41	100	0.94
	@	@	misses	3	91	0.92
	@	@	missing	29	100	0.95
	missile	NoC	%	19	90	0.80
	@	@	missile	9	83	0.82
	@	@	missiles	10	82	0.78
	missing	Adj	:	15	100	0.95
	mission	NoC	%	32	99	0.92
	@	@	mission	27	99	0.92
	@	@	missions	5	81	0.87
	mist	NoC	%	13	94	0.87
	@	@	mist	11	91	0.86
	@	@	mists	2	67	0.88
	mistake	NoC	%	53	100	0.96
	@	@	mistake	37	100	0.95
	@	@	mistakes	16	100	0.96
	mistake	Verb	%	11	98	0.93
	@	@	mistake	1	62	0.89
	@	@	mistaken	8	97	0.93
	@	@	mistakes	0	11	0.71
	@	@	mistaking	1	56	0.86
	@	@	mistook	1	47	0.87
	mistress	NoC	%	13	93	0.87
	@	@	mistress	12	89	0.86
	@	@	mistresses	1	56	0.87
	Mitchell	NoP	%	10	88	0.89
	@	@	Mitchell	10	88	0.89
	@	@	Mitchells	0	5	0.38
	mix	NoC	%	16	100	0.92
	@	@	mix	15	100	0.92
	@	@	mixes	1	57	0.82
	mix	Verb	%	41	100	0.95
	@	@	mix	12	97	0.90
	@	@	mixed	23	100	0.96
	@	@	mixes	1	42	0.86
	@	@	mixing	6	95	0.93
	mixed	Adj	:	20	100	0.93
	mixture	NoC	%	35	100	0.93
	@	@	mixture	33	100	0.93
	@	@	mixtures	3	66	0.84
	ml	NoC	%	11	51	0.63
	@	@	ml	11	48	0.62
	@	@	mls	0	10	0.50
	mm	Int	:	330	48	0.64
	mm	NoC	%	18	76	0.70
	@	@	mm	17	74	0.70
	mobile	Adj	:	14	100	0.92
	mobility	NoC	%	15	90	0.88
	@	@	mobility	15	90	0.88
	mode	NoC	%	40	98	0.89
	@	@	mode	27	98	0.90
	@	@	modes	12	79	0.85
	model	NoC	%	183	100	0.91
	@	@	model	130	100	0.91
	@	@	models	53	100	0.90
	model	Verb	%	11	98	0.91
	@	@	model	3	78	0.88
	@	@	modelled	5	91	0.91
	@	@	modelling	3	80	0.88
	@	@	models	0	18	0.75
	moderate	Adj	:	14	95	0.92
	modern	Adj	:	131	100	0.93
	modest	Adj	%	23	100	0.95
	@	@	modest	23	100	0.95
	modification	NoC	%	19	88	0.87
	@	@	modification	10	76	0.86
	@	@	modifications	8	83	0.88
	modify	Verb	%	23	96	0.91
	@	@	modified	12	90	0.91
	@	@	modifies	1	38	0.84
	@	@	modify	7	89	0.91
	@	@	modifying	3	64	0.88
	module	NoC	%	59	76	0.41
	@	@	module	32	66	0.30
	@	@	modules	27	63	0.52
	molecular	Adj	:	13	70	0.79
	molecule	NoC	%	23	76	0.78
	@	@	molecule	8	57	0.74
	@	@	molecules	15	73	0.80
	moment	NoC	%	254	100	0.92
	@	@	moment	221	100	0.91
	@	@	moments	32	98	0.92
	monarch	NoC	%	10	89	0.88
	@	@	monarch	8	87	0.87
	@	@	monarchs	2	59	0.85
	monarchy	NoC	%	10	82	0.85
	@	@	monarchies	0	27	0.79
	@	@	monarchy	10	80	0.85
	Monday	NoP	%	56	100	0.90
	@	@	Monday	53	100	0.90
	@	@	Mondays	3	79	0.83
	monetary	Adj	:	28	87	0.82
	money	NoC	%	375	100	0.95
	@	@	money	374	100	0.95
	@	@	moneys	1	24	0.48
	monitor	NoC	%	11	97	0.83
	@	@	monitor	8	92	0.81
	@	@	monitors	3	69	0.86
	monitor	Verb	%	35	100	0.92
	@	@	monitor	14	91	0.92
	@	@	monitored	9	95	0.91
	@	@	monitoring	11	96	0.91
	@	@	monitors	2	67	0.86
	monitoring	NoC	%	17	85	0.89
	@	@	monitoring	17	85	0.89
	monk	NoC	%	13	92	0.86
	@	@	monk	5	82	0.80
	@	@	monks	8	84	0.85
	monkey	NoC	%	11	90	0.89
	@	@	monkey	6	88	0.90
	@	@	monkeys	5	83	0.85
	monopoly	NoC	%	21	95	0.87
	@	@	monopolies	5	68	0.85
	@	@	monopoly	16	94	0.86
	monster	NoC	%	17	97	0.88
	@	@	monster	13	95	0.88
	@	@	monsters	4	80	0.81
	month	NoC	%	398	100	0.95
	@	@	month	150	100	0.93
	@	@	months	248	100	0.95
	monthly	Adj	:	19	99	0.90
	monument	NoC	%	13	97	0.89
	@	@	monument	7	92	0.89
	@	@	monuments	6	89	0.85
	mood	NoC	%	37	100	0.95
	@	@	mood	33	100	0.95
	@	@	moods	4	85	0.90
	moon	NoC	%	31	100	0.89
	@	@	moon	29	100	0.88
	@	@	moons	2	55	0.85
	moor	NoC	%	15	93	0.86
	@	@	moor	9	86	0.84
	@	@	moors	6	82	0.84
	Moore	NoP	:	19	94	0.88
	moral	Adj	:	52	100	0.89
	morale	NoC	%	10	94	0.92
	@	@	morale	10	94	0.92
	@	@	morales	0	15	0.67
	morality	NoC	%	13	97	0.86
	@	@	moralities	0	11	0.68
	@	@	morality	12	97	0.86
	more	Adv	:	1275	100	0.96
	more	DetP	:	699	100	0.98
	more than*	Adv	:	148	100	0.93
	moreover	Adv	:	43	96	0.91
	Morgan	NoP	:	18	90	0.85
	morning	NoC	%	219	100	0.92
	@	@	morning	211	100	0.92
	@	@	mornings	8	93	0.92
	Morris	NoP	:	18	99	0.90
	mortality	NoC	%	23	90	0.76
	@	@	mortalities	0	12	0.70
	@	@	mortality	23	90	0.76
	mortgage	NoC	%	34	100	0.87
	@	@	mortgage	29	99	0.86
	@	@	mortgages	6	75	0.87
	mosaic	NoC	%	12	69	0.29
	@	@	mosaic	7	60	0.28
	@	@	mosaics	5	40	0.30
	Moscow	NoP	:	30	94	0.86
	most	Adv	:	565	100	0.96
	most	DetP	:	422	100	0.96
	mostly	Adv	:	39	100	0.96
	mother	NoC	%	295	100	0.92
	@	@	mother	262	100	0.91
	@	@	mothers	33	100	0.89
	motif	NoC	%	13	78	0.72
	@	@	motif	9	70	0.64
	@	@	motifs	4	59	0.78
	motion	NoC	%	53	99	0.87
	@	@	motion	46	99	0.87
	@	@	motions	7	93	0.87
	motivate	Verb	%	12	93	0.92
	@	@	motivate	2	71	0.90
	@	@	motivated	7	91	0.92
	@	@	motivates	1	45	0.85
	@	@	motivating	1	56	0.87
	motivation	NoC	%	18	94	0.91
	@	@	motivation	15	93	0.91
	@	@	motivations	2	66	0.86
	motive	NoC	%	21	98	0.93
	@	@	motive	10	98	0.92
	@	@	motives	10	96	0.93
	motor	NoC	%	48	100	0.86
	@	@	motor	42	100	0.85
	@	@	motors	6	90	0.85
	motorway	NoC	%	14	96	0.89
	@	@	motorway	12	96	0.88
	@	@	motorways	3	79	0.89
	mould	NoC	%	10	95	0.87
	@	@	mould	8	93	0.85
	@	@	moulds	2	60	0.84
	mount	NoC	%	12	98	0.91
	@	@	mount	11	97	0.90
	@	@	mounts	2	58	0.87
	mount	Verb	%	32	99	0.95
	@	@	mount	6	98	0.94
	@	@	mounted	17	99	0.94
	@	@	mounting	8	95	0.93
	@	@	mounts	1	45	0.86
	mountain	NoC	%	68	100	0.91
	@	@	mountain	39	100	0.90
	@	@	mountains	28	100	0.90
	mouse	NoC	%	28	98	0.84
	@	@	mice	10	90	0.77
	@	@	mouse	18	95	0.83
	@	@	mouses	0	6	0.49
	mouth	NoC	%	99	98	0.87
	@	@	mouth	93	98	0.86
	@	@	mouths	6	93	0.91
	move	NoC	%	84	100	0.93
	@	@	move	68	100	0.93
	@	@	moves	16	100	0.91
	move	Verb	%	391	100	0.96
	@	@	move	136	100	0.95
	@	@	moved	146	100	0.94
	@	@	moves	20	100	0.95
	@	@	moving	89	100	0.97
	movement	NoC	%	179	100	0.94
	@	@	movement	135	100	0.93
	@	@	movements	44	100	0.92
	movie	NoC	%	28	93	0.86
	@	@	movie	18	92	0.85
	@	@	movies	10	87	0.84
	Mozart	NoP	%	12	80	0.65
	@	@	Mozart	12	80	0.65
	@	@	Mozarts	0	4	0.34
	MP	NoC	%	58	96	0.85
	@	@	M.P.	0	11	0.70
	@	@	MP	32	93	0.84
	@	@	MPs	26	80#	0.85#
	Mr	NoC	%	673	100	0.84
	@	@	M.R.	2	12	0.33
	@	@	Mr	524	100	0.87
	@	@	Mr.	148	93	0.40
	Mrs	NoC	%	221	100	0.91
	@	@	Mrs	198	100	0.90
	@	@	Mrs.	23	74	0.75
	Ms	NoC	%	18	97	0.87
	@	@	M.S.	0	9	0.66
	@	@	Ms	17	95	0.86
	@	@	Ms.	1	25	0.39
	much	Adv	:	390	100	0.97
	much	DetP	:	531	100	0.97
	mucosa	NoC	%	11	15	0.35
	@	@	mucosa	10	14	0.35
	@	@	mucosae	0	3	0.31
	mud	NoC	%	20	99	0.91
	@	@	mud	19	98	0.91
	@	@	muds	0	20	0.71
	mug	NoC	%	10	87	0.87
	@	@	mug	8	79	0.86
	@	@	mugs	3	71	0.87
	multiple	Adj	:	22	99	0.88
	multiply	Verb	%	12	96	0.90
	@	@	multiplied	4	86	0.90
	@	@	multiplies	0	30	0.78
	@	@	multiply	5	89	0.86
	@	@	multiplying	2	65	0.86
	mum	NoC	%	90	95	0.77
	@	@	mum	86	95	0.76
	@	@	mums	4	67	0.75
	mummy	NoC	%	26	83	0.67
	@	@	mummies	1	29	0.76
	@	@	mummy	26	82	0.67
	murder	NoC	%	60	100	0.89
	@	@	murder	54	100	0.89
	@	@	murders	7	88	0.89
	murder	Verb	%	23	99	0.90
	@	@	murder	6	92	0.89
	@	@	murdered	14	99	0.89
	@	@	murdering	4	72	0.81
	@	@	murders	0	10	0.69
	murderer	NoC	%	12	90	0.85
	@	@	murderer	8	87	0.83
	@	@	murderers	3	71	0.88
	murmur	Verb	%	22	75	0.76
	@	@	murmur	1	41	0.82
	@	@	murmured	19	51	0.75
	@	@	murmuring	2	35	0.81
	@	@	murmurs	0	23	0.71
	Murray	NoP	%	12	84	0.86
	@	@	Murray	12	84	0.86
	@	@	Murrays	0	9	0.67
	muscle	NoC	%	38	98	0.91
	@	@	muscle	18	97	0.88
	@	@	muscles	20	95	0.89
	museum	NoC	%	82	99	0.80
	@	@	museum	68	99	0.80
	@	@	museums	14	89	0.75
	music	NoC	%	150	100	0.91
	@	@	music	150	100	0.91
	@	@	musics	0	13	0.58
	musical	Adj	:	29	99	0.87
	musician	NoC	%	19	97	0.84
	@	@	musician	6	89	0.89
	@	@	musicians	12	90	0.81
	must	VMod	:	723	100	0.97
	mutter	Verb	%	21	82	0.81
	@	@	mutter	1	49	0.85
	@	@	muttered	16	64	0.79
	@	@	muttering	4	61	0.83
	@	@	mutters	0	25	0.72
	mutual	Adj	:	22	98	0.94
	my	Det	%	1549	100	0.92
	@	@	me	23	12	0.64
	@	@	mine	0	22	0.78
	@	@	my	1525	100	0.93
	myself	Pron	:	125	100	0.92
	mysterious	Adj	:	13	95	0.93
	mystery	NoC	%	28	100	0.93
	@	@	mysteries	5	89	0.88
	@	@	mystery	22	100	0.93
	myth	NoC	%	21	98	0.91
	@	@	myth	15	94	0.90
	@	@	myths	6	86	0.91
	N / n	Lett	:	43	96	0.85
	N	NoP	%	11	79	0.84
	@	@	N	5	54	0.70
	@	@	N.	6	76	0.85
	nail	NoC	%	20	97	0.80
	@	@	nail	6	96	0.92
	@	@	nails	13	90	0.72
	naked	Adj	:	20	100	0.90
	name	NoC	%	326	100	0.96
	@	@	name	250	100	0.95
	@	@	names	76	100	0.96
	name	Verb	%	61	100	0.95
	@	@	name	13	100	0.96
	@	@	named	44	100	0.94
	@	@	names	1	55	0.86
	@	@	naming	3	91	0.92
	namely	Adv	:	22	93	0.90
	narrative	NoC	%	12	85	0.85
	@	@	narrative	11	84	0.84
	@	@	narratives	2	44	0.84
	narrow	Adj	%	54	100	0.95
	@	@	narrow	49	100	0.95
	@	@	narrower	4	89	0.91
	@	@	narrowest	1	41	0.85
	narrow	Verb	%	12	100	0.86
	@	@	narrow	1	61	0.89
	@	@	narrowed	8	90	0.81
	@	@	narrowing	2	66	0.85
	@	@	narrows	1	57	0.88
	nasty	Adj	%	19	99	0.92
	@	@	nastier	1	36	0.83
	@	@	nastiest	0	23	0.72
	@	@	nasty	18	98	0.92
	nation	NoC	%	85	100	0.92
	@	@	nation	44	99	0.93
	@	@	nations	41	98	0.90
	national	Adj	:	376	100	0.91
	nationalism	NoC	%	10	76	0.83
	@	@	nationalism	10	76	0.84
	@	@	nationalisms	0	12	0.53
	nationalist	NoC	%	10	74	0.84
	@	@	nationalist	4	65	0.81
	@	@	nationalists	6	61	0.85
	nationality	NoC	%	10	93	0.81
	@	@	nationalities	3	72	0.79
	@	@	nationality	7	84	0.77
	native	Adj	:	24	96	0.92
	NATO	NoP	%	15	77	0.75
	@	@	NATO	15	77	0.75
	natural	Adj	:	142	100	0.94
	naturally	Adv	:	43	99	0.96
	nature	NoC	%	182	100	0.94
	@	@	nature	181	100	0.94
	@	@	natures	1	46	0.75
	naval	Adj	:	15	94	0.89
	navy	NoC	%	21	100	0.93
	@	@	navies	1	24	0.70
	@	@	navy	20	100	0.93
	near	Adj	%	44	100	0.97
	@	@	near	18	100	0.96
	@	@	nearer	5	97	0.94
	@	@	nearest	20	100	0.95
	near	Adv	:	16	100	0.93
	near	Prep	:	138	100	0.94
	nearby	Adj	:	22	96	0.92
	nearby	Adv	:	14	98	0.92
	nearly	Adv	:	115	100	0.97
	neat	Adj	%	18	98	0.93
	@	@	neat	17	98	0.93
	@	@	neater	1	42	0.84
	@	@	neatest	0	23	0.80
	neatly	Adv	:	13	98	0.93
	necessarily	Adv	:	57	100	0.93
	necessary	Adj	:	181	100	0.94
	necessity	NoC	%	21	100	0.93
	@	@	necessities	2	79	0.90
	@	@	necessity	18	100	0.93
	neck	NoC	%	60	98	0.89
	@	@	neck	56	98	0.89
	@	@	necks	4	90	0.85
	need	NoC	%	273	100	0.95
	@	@	need	169	100	0.96
	@	@	needs	105	100	0.92
	need	Verb	%	627	100	0.97
	@	@	need	356	100	0.95
	@	@	needed	165	100	0.97
	@	@	needing	10	100	0.95
	@	@	needs	97	100	0.96
	need*	VMod	:	33	100	0.95
	needle	NoC	%	23	97	0.71
	@	@	needle	13	96	0.77
	@	@	needles	11	88	0.64
	negative	Adj	:	45	99	0.91
	neglect	Verb	%	14	99	0.94
	@	@	neglect	3	90	0.92
	@	@	neglected	8	98	0.94
	@	@	neglecting	2	78	0.90
	@	@	neglects	1	43	0.82
	negligence	NoC	%	13	90	0.69
	@	@	negligence	13	90	0.69
	negotiate	Verb	%	32	100	0.92
	@	@	negotiate	13	99	0.92
	@	@	negotiated	10	96	0.91
	@	@	negotiates	1	36	0.83
	@	@	negotiating	8	94	0.91
	negotiation	NoC	%	48	99	0.85
	@	@	negotiation	12	95	0.89
	@	@	negotiations	37	97	0.83
	neighbour	NoC	%	49	100	0.95
	@	@	neighbour	18	99	0.95
	@	@	neighbours	31	100	0.95
	neighbourhood	NoC	%	17	99	0.89
	@	@	neighbourhood	15	99	0.89
	@	@	neighbourhoods	2	59	0.83
	neighbouring	Adj	:	14	96	0.92
	Neil	NoP	%	31	92	0.80
	@	@	Neil	31	92	0.80
	neither	Adv	:	54	100	0.96
	neither	DetP	:	28	100	0.96
	Nelson	NoP	%	10	90	0.89
	@	@	Nelson	10	90	0.89
	nerve	NoC	%	25	100	0.93
	@	@	nerve	13	99	0.92
	@	@	nerves	12	98	0.92
	nervous	Adj	:	31	100	0.94
	nest	NoC	%	18	95	0.86
	@	@	nest	13	94	0.86
	@	@	nests	5	77	0.85
	net	Adj	%	41	97	0.76
	@	@	net	41	97	0.76
	net	NoC	%	31	100	0.82
	@	@	net	25	100	0.79
	@	@	nets	7	92	0.82
	Netherlands	NoP	:	14	84	0.86
	network	NoC	%	91	98	0.82
	@	@	network	72	98	0.82
	@	@	networks	19	87	0.81
	neutral	Adj	:	16	98	0.91
	never	Adv	:	559	100	0.94
	nevertheless	Adv	:	72	99	0.94
	new	Adj	%	1154	100	0.95
	@	@	new	1145	100	0.95
	@	@	newer	5	93	0.92
	@	@	newest	4	89	0.91
	New	NoP-	:	106	100	0.91
	Newcastle	NoP	%	27	98	0.73
	@	@	Newcastle	27	98	0.73
	newcomer	NoC	%	11	96	0.88
	@	@	newcomer	5	92	0.93
	@	@	newcomers	5	89	0.80
	newly	Adv	:	27	100	0.94
	Newman	NoP	%	10	81	0.73
	@	@	Newman	10	81	0.73
	news	NoC	:	145	100	0.94
	newspaper	NoC	%	86	100	0.94
	@	@	newspaper	50	100	0.94
	@	@	newspapers	35	100	0.92
	Newton	NoP	%	15	89	0.85
	@	@	Newton	15	89	0.84
	@	@	Newtons	0	7	0.57
	next	Ord	:	431	100	0.96
	next to	Prep	:	30	100	0.93
	NHS	NoP	:	25	76	0.83
	nice	Adj	%	134	100	0.83
	@	@	nice	129	100	0.83
	@	@	nicer	3	72	0.87
	@	@	nicest	2	63	0.86
	Nicholas	NoP	:	24	97	0.82
	Nicholson	NoP	%	11	72	0.70
	@	@	Nicholson	11	72	0.70
	Nick	NoP	%	29	93	0.85
	@	@	Nick	28	93	0.85
	@	@	Nicks	0	7	0.53
	Nigel	NoP	%	34	94	0.82
	@	@	Nigel	34	94	0.82
	night	NoC	%	393	100	0.93
	@	@	night	365	100	0.93
	@	@	nights	28	99	0.93
	nightmare	NoC	%	18	99	0.92
	@	@	nightmare	14	99	0.91
	@	@	nightmares	3	81	0.89
	nine	Num	%	137	100	0.88
	@	@	nine	136	100	0.88
	@	@	nines	1	24	0.62
	nineteen	Num	%	48	98	0.72
	@	@	nineteen	48	98	0.72
	@	@	nineteens	0	1	0.00
	nineteenth	Ord	:	33	98	0.89
	nineteenth-century	Adj	:	10	78	0.86
	ninety	Num	%	47	97	0.74
	@	@	nineties	5	80	0.87
	@	@	ninety	42	94	0.71
	no	Adv	:	17	100	0.94
	no	Det	:	1343	100	0.98
	no	Int	%	662	100	0.75
	@	@	no	662	100	0.75
	no	NoC	%	100	90	0.64
	@	@	no	66	87	0.46
	@	@	no.	33	86	0.84
	@	@	nos	1	33	0.69
	no-one*	Pron	:	21	99	0.92
	no doubt	Adv	:	37	99	0.95
	no longer	Adv	:	88	100	0.97
	no matter how	Adv	:	10	97	0.95
	no one*	Pron	:	81	100	0.92
	noble	Adj	:	13	93	0.85
	nobody	Pron	:	62	100	0.92
	nod	Verb	%	60	90	0.81
	@	@	nod	2	60	0.85
	@	@	nodded	51	79	0.80
	@	@	nodding	5	73	0.84
	@	@	nods	1	35	0.76
	node	NoC	%	13	65	0.74
	@	@	node	8	49	0.73
	@	@	nodes	5	54	0.74
	noise	NoC	%	56	100	0.93
	@	@	noise	47	99	0.93
	@	@	noises	9	96	0.91
	noisy	Adj	%	11	99	0.93
	@	@	noisier	0	25	0.81
	@	@	noisiest	0	20	0.79
	@	@	noisy	10	98	0.93
	nominate	Verb	%	10	92	0.89
	@	@	nominate	3	75	0.90
	@	@	nominated	7	89	0.87
	@	@	nominates	0	14	0.72
	@	@	nominating	1	42	0.86
	none	Pron	:	84	100	0.96
	nonetheless	Adv	:	13	91	0.91
	nonsense	NoC	%	16	100	0.92
	@	@	nonsense	16	100	0.92
	nor	Conj	:	124	100	0.95
	Norfolk	NoP	%	14	95	0.89
	@	@	Norfolk	14	95	0.89
	norm	NoC	%	19	95	0.86
	@	@	norm	10	95	0.90
	@	@	norms	9	72	0.80
	normal	Adj	:	124	100	0.92
	normally	Adv	:	83	100	0.95
	Norman	NoP	%	25	96	0.89
	@	@	Norman	23	95	0.89
	@	@	Normans	1	41	0.66
	north	NoC	:	163	100	0.94
	North	NoP-	%	54	98	0.88
	@	@	North	54	98	0.88
	north-east	NoC	:	17	93	0.67
	north-west	NoC	:	10	89	0.87
	northern	Adj	:	66	100	0.90
	Northern	NoP-	:	43	97	0.80
	Norway	NoP	%	15	94	0.86
	@	@	Norway	15	94	0.86
	Norwich	NoP	:	15	94	0.86
	nose	NoC	%	48	100	0.90
